B,S,O,inning,base_state,P(Swing),P(Contact),P(Whiff),P(Foul),P(Ball),P(Strike),P(Hit),P(Out),P(Struck Out),P(Home Run),P(Extra Base Hit),P(In Play),P(Walk),P(Hit By Pitch),P(Error),P(Sacrifice),Statistically Relevant
1,2,0,4,0-1-0,60.9%,77.4%,22.6%,38.7%,36.3%,40.1%,8.0%,33.6%,18.0%,0.5%,3.0%,23.6%,0%,1.0%,0%,0%,Yes
1,2,0,4,1-1-0,65.1%,79.7%,20.3%,41.1%,31.2%,43.7%,5.8%,35.3%,17.3%,0.3%,1.4%,25.1%,0%,1.0%,0.3%,0%,Yes
1,2,0,4,1-0-1,60.2%,83.1%,16.9%,43.1%,39.8%,36.1%,11.1%,23.1%,10.2%,2.8%,3.7%,24.1%,0%,0.9%,0%,5.6%,Yes
1,2,0,5,0-0-0,57.1%,76.7%,23.3%,38.8%,38.8%,39.6%,6.5%,33.7%,18.7%,0.8%,2.2%,21.7%,0%,0.4%,0.2%,0%,Yes
1,2,0,5,1-0-0,61.1%,78.9%,21.1%,39.4%,35.7%,40.1%,7.5%,33.1%,16.8%,0.4%,1.8%,24.1%,0%,0.4%,0.1%,0%,Yes
1,2,0,5,0-1-0,57.5%,77.0%,23.0%,39.6%,37.8%,40.6%,7.4%,33.8%,19.7%,1.2%,1.5%,21.5%,0%,0.3%,0%,0%,Yes
1,2,0,5,1-1-0,59.6%,74.8%,25.2%,37.4%,36.9%,40.8%,8.5%,32.3%,19.6%,0.8%,2.7%,22.3%,0%,0.8%,0.4%,0%,Yes
1,2,0,6,0-0-0,57.7%,77.0%,23.0%,39.5%,38.5%,39.9%,7.0%,32.9%,18.4%,0.7%,1.9%,21.6%,0%,0.3%,0.2%,0%,Yes
1,2,0,6,1-0-0,60.3%,77.6%,22.4%,42.4%,35.4%,43.4%,8.1%,31.6%,18.7%,0.9%,1.7%,21.3%,0%,0.5%,0.1%,0%,Yes
1,2,0,6,0-1-0,62.4%,79.9%,20.1%,41.2%,34.3%,41.6%,7.0%,34.3%,17.7%,1.2%,2.4%,24.2%,0%,1.2%,0.6%,0%,Yes
1,2,0,6,1-1-0,58.4%,79.7%,20.3%,41.6%,38.7%,39.0%,7.5%,30.3%,15.9%,0.6%,1.4%,22.3%,0%,0.6%,0%,0.3%,Yes
1,2,0,7,0-0-0,57.0%,75.2%,24.8%,40.3%,39.3%,40.9%,6.2%,32.6%,19.2%,0.6%,1.7%,19.8%,0%,0.4%,0.2%,0%,Yes
1,2,0,7,1-0-0,59.4%,75.1%,24.9%,39.1%,36.7%,41.9%,7.1%,34.0%,20.0%,1.3%,2.6%,21.4%,0%,0.4%,0.2%,0.3%,Yes
1,2,0,7,0-1-0,57.0%,76.6%,23.4%,41.1%,38.0%,41.8%,4.7%,35.3%,19.9%,0.9%,1.8%,20.2%,0%,0.6%,0%,0%,Yes
1,2,0,7,1-1-0,56.5%,72.5%,27.5%,31.4%,38.0%,38.7%,5.5%,39.5%,21.8%,1.1%,2.6%,23.2%,0%,0.4%,0%,0.4%,Yes
1,2,0,8,0-0-0,56.8%,75.4%,24.6%,39.9%,39.1%,40.7%,6.4%,32.8%,19.2%,0.7%,1.9%,20.2%,0%,0.4%,0.3%,0%,Yes
1,2,0,8,1-0-0,62.4%,79.0%,21.0%,39.4%,34.0%,41.3%,6.8%,35.1%,17.6%,0.8%,1.7%,24.7%,0%,0.3%,0.1%,0.1%,Yes
1,2,0,8,0-1-0,59.3%,77.3%,22.7%,39.6%,37.2%,40.4%,7.4%,32.7%,18.1%,1.1%,1.7%,22.3%,0%,0.6%,0.3%,0%,Yes
1,2,0,8,1-1-0,60.0%,77.0%,23.0%,37.4%,36.9%,39.3%,5.2%,36.2%,18.3%,1.0%,2.4%,23.8%,0%,0%,0%,0.3%,Yes
1,2,0,9,0-0-0,58.3%,74.7%,25.3%,42.3%,37.7%,43.4%,5.5%,33.4%,20.3%,0.5%,1.7%,18.9%,0%,0.4%,0.2%,0%,Yes
1,2,0,9,1-0-0,59.4%,71.5%,28.5%,38.6%,36.3%,44.2%,6.3%,35.7%,22.6%,0.9%,1.9%,19.5%,0%,0.3%,0%,0%,Yes
1,2,0,9,0-1-0,61.9%,75.0%,25.0%,35.0%,35.0%,40.3%,7.1%,37.6%,19.9%,0.9%,2.7%,24.8%,0%,0.9%,0%,0.4%,Yes
1,2,0,9,1-1-0,59.2%,74.4%,25.6%,44.8%,37.4%,45.0%,5.2%,32.7%,20.4%,0.5%,0.9%,17.5%,0%,0.5%,0%,0%,Yes
1,2,1,1,0-0-0,54.6%,74.9%,25.1%,39.7%,41.6%,39.2%,6.0%,31.8%,18.9%,0.6%,1.7%,19.2%,0%,0.5%,0.3%,0%,Yes
1,2,1,1,1-0-0,57.9%,76.2%,23.8%,44.3%,38.2%,43.3%,5.6%,31.7%,18.9%,0.3%,1.1%,18.5%,0%,0.4%,0.2%,0%,Yes
1,2,1,1,0-1-0,58.5%,79.0%,21.0%,39.8%,37.2%,39.9%,10.2%,30.0%,17.4%,1.5%,3.9%,22.9%,0%,0.3%,0.2%,0%,Yes
1,2,1,1,0-0-1,57.8%,68.0%,32.0%,30.0%,38.7%,39.3%,8.1%,35.8%,22.0%,0.6%,0.6%,22.0%,0%,0%,0%,5.2%,Yes
1,2,1,1,1-1-0,56.5%,74.8%,25.2%,42.9%,37.9%,44.1%,4.8%,35.5%,22.4%,0.7%,1.2%,18.0%,0%,0.7%,0%,0%,Yes
1,2,1,1,1-0-1,51.9%,85.3%,14.7%,47.7%,44.8%,35.7%,2.9%,29.5%,13.3%,0%,0.5%,19.5%,0%,1.0%,0%,3.8%,Yes
1,2,1,1,0-1-1,61.3%,73.7%,26.3%,41.2%,35.5%,44.6%,6.5%,33.3%,21.5%,0%,0%,19.9%,0%,0%,0.5%,5.9%,Yes
1,2,1,1,1-1-1,67.2%,67.7%,32.3%,40.6%,30.8%,51.0%,3.5%,40.4%,26.8%,1.5%,1.5%,18.2%,0%,0%,0%,3.0%,Yes
1,2,1,2,0-0-0,55.6%,74.1%,25.9%,39.2%,39.7%,40.9%,5.7%,33.7%,20.2%,0.6%,1.9%,19.4%,0%,0.5%,0.2%,0%,Yes
1,2,1,2,1-0-0,60.3%,75.3%,24.7%,38.1%,36.2%,41.3%,7.7%,34.3%,20.1%,0.9%,2.4%,22.5%,0%,0.7%,0.3%,0%,Yes
1,2,1,2,0-1-0,59.5%,78.2%,21.8%,40.4%,37.1%,40.3%,5.9%,34.6%,18.2%,0.5%,1.8%,22.5%,0%,0.7%,0.2%,0%,Yes
1,2,1,2,0-0-1,58.6%,67.4%,32.6%,41.3%,40.1%,44.6%,6.4%,30.6%,21.7%,0%,0%,15.3%,0%,1.3%,0%,1.9%,Yes
1,2,1,2,1-1-0,58.5%,75.8%,24.2%,41.1%,38.4%,41.3%,6.5%,31.5%,18.1%,0.6%,1.6%,20.3%,0%,0.8%,0%,0%,Yes
1,2,1,2,1-0-1,63.6%,70.2%,29.8%,37.1%,34.4%,44.6%,8.7%,32.3%,21.0%,1.5%,3.1%,21.0%,0%,0%,0%,4.6%,Yes
1,2,1,2,0-1-1,54.1%,82.7%,17.3%,44.9%,43.1%,36.5%,7.2%,26.5%,13.3%,0.6%,2.2%,20.4%,0%,0.6%,0%,3.3%,Yes
1,2,1,2,1-1-1,62.4%,82.5%,17.5%,47.6%,36.4%,41.8%,4.8%,30.3%,13.3%,0.6%,1.2%,21.8%,0%,1.2%,0%,4.8%,Yes
1,2,1,3,0-0-0,56.5%,76.2%,23.8%,38.5%,38.8%,39.8%,6.0%,34.0%,18.9%,0.5%,1.7%,21.3%,0%,0.4%,0.3%,0%,Yes
1,2,1,3,1-0-0,57.6%,75.2%,24.8%,39.2%,38.3%,41.0%,6.4%,33.4%,19.2%,0.8%,2.3%,20.7%,0%,0.3%,0%,0%,Yes
1,2,1,3,0-1-0,59.2%,73.3%,26.7%,38.4%,37.5%,42.0%,7.1%,33.7%,20.3%,0.3%,1.6%,20.7%,0%,0%,0.2%,0%,Yes
1,2,1,3,0-0-1,53.0%,79.5%,20.5%,37.5%,45.2%,32.5%,6.0%,31.3%,15.1%,1.2%,2.4%,22.3%,0%,1.2%,0%,7.2%,Yes
1,2,1,3,1-1-0,63.9%,79.5%,20.5%,41.2%,33.9%,41.6%,7.9%,32.6%,16.2%,0.9%,2.2%,24.5%,0%,0.4%,0.2%,0%,Yes
1,2,1,3,1-0-1,60.2%,79.2%,20.8%,37.7%,36.9%,38.1%,6.8%,32.4%,15.3%,0%,2.3%,25.0%,0%,0.6%,0%,5.7%,Yes
1,2,1,3,0-1-1,58.9%,80.2%,19.8%,38.5%,39.3%,36.2%,8.0%,30.7%,14.7%,1.2%,3.1%,24.5%,0%,0%,0.6%,4.3%,Yes
1,2,1,3,1-1-1,64.5%,75.3%,24.7%,38.2%,31.2%,44.9%,8.0%,36.2%,20.3%,1.4%,2.2%,23.9%,0%,0.7%,0%,5.8%,Yes
1,2,1,4,0-0-0,54.8%,76.5%,23.5%,41.6%,41.0%,39.9%,5.2%,32.1%,18.4%,0.5%,1.6%,19.1%,0%,0.4%,0.1%,0%,Yes
1,2,1,4,1-0-0,59.7%,77.8%,22.2%,38.0%,36.5%,39.8%,6.3%,34.9%,17.8%,0.4%,2.2%,23.7%,0%,0.6%,0%,0%,Yes
1,2,1,4,0-1-0,58.1%,75.8%,24.2%,41.2%,38.5%,41.4%,5.0%,33.4%,18.5%,0.5%,1.2%,20.1%,0%,0%,0.2%,0%,Yes
1,2,1,4,0-0-1,57.7%,74.4%,25.6%,33.7%,40.3%,36.2%,8.1%,32.2%,17.4%,0.7%,4.0%,23.5%,0%,0.7%,0%,5.4%,Yes
1,2,1,4,1-1-0,55.3%,76.9%,23.1%,37.8%,40.5%,37.9%,7.0%,32.4%,18.1%,0.4%,1.8%,21.6%,0%,0.7%,0.2%,0%,Yes
1,2,1,4,1-0-1,60.6%,74.2%,25.8%,43.2%,36.7%,44.5%,6.4%,29.8%,18.8%,0.9%,1.8%,18.8%,0%,0.9%,0.5%,3.7%,Yes
1,2,1,4,0-1-1,52.3%,73.1%,26.9%,39.7%,42.3%,40.3%,8.1%,28.9%,20.1%,1.3%,3.4%,17.4%,0%,0%,0%,4.0%,Yes
1,2,1,4,1-1-1,70.2%,79.2%,20.8%,46.2%,23.8%,53.0%,6.6%,40.4%,23.8%,0%,2.6%,23.2%,0%,0.7%,0%,4.6%,Yes
1,2,1,5,0-0-0,56.7%,76.1%,23.9%,38.4%,39.3%,39.3%,6.4%,33.5%,18.7%,0.5%,1.8%,21.4%,0%,0.4%,0.2%,0%,Yes
1,2,1,5,1-0-0,58.4%,78.6%,21.4%,43.1%,37.6%,41.8%,6.7%,31.4%,17.6%,0.9%,2.1%,20.7%,0%,0.3%,0%,0.1%,Yes
1,2,1,5,0-1-0,60.0%,77.6%,22.4%,38.7%,37.3%,39.3%,7.1%,33.5%,17.4%,0.6%,1.7%,23.4%,0%,0%,0.2%,0%,Yes
1,2,1,5,0-0-1,58.7%,79.6%,20.4%,39.8%,39.7%,37.0%,7.6%,28.8%,14.1%,0.5%,2.7%,23.4%,0%,0%,0.5%,3.8%,Yes
1,2,1,5,1-1-0,61.5%,81.4%,18.6%,48.3%,34.7%,45.0%,6.7%,30.9%,17.5%,1.1%,3.2%,20.4%,0%,0.6%,0%,0%,Yes
1,2,1,5,1-0-1,56.9%,73.9%,26.1%,37.8%,39.0%,40.5%,8.7%,31.3%,19.5%,0.5%,2.6%,20.5%,0%,0.5%,0%,3.6%,Yes
1,2,1,5,0-1-1,48.0%,81.0%,19.0%,40.5%,45.1%,35.4%,6.3%,30.3%,17.1%,1.1%,2.9%,19.4%,0%,0%,0%,4.0%,Yes
1,2,1,5,1-1-1,63.1%,68.1%,31.9%,24.5%,32.9%,39.6%,10.7%,41.6%,26.2%,0.7%,3.4%,27.5%,0%,0.7%,0%,6.7%,Yes
1,2,1,6,0-0-0,56.4%,75.3%,24.7%,38.5%,39.6%,39.7%,6.2%,33.4%,19.1%,0.9%,2.1%,20.8%,0%,0.3%,0.3%,0%,Yes
1,2,1,6,1-0-0,60.7%,76.8%,23.2%,39.0%,35.4%,41.7%,7.8%,34.9%,19.4%,0.9%,2.2%,23.0%,0%,0.5%,0.1%,0%,Yes
1,2,1,6,0-1-0,59.1%,72.9%,27.1%,33.5%,37.8%,39.0%,6.9%,36.6%,20.7%,0.2%,0.9%,23.3%,0%,0.3%,0.3%,0%,Yes
1,2,1,6,0-0-1,61.1%,78.2%,21.8%,37.3%,35.0%,40.0%,7.8%,32.8%,19.4%,0.6%,1.7%,25.0%,0%,0%,0.6%,4.4%,Yes
1,2,1,6,1-1-0,58.1%,74.0%,26.0%,39.7%,37.0%,43.0%,7.0%,33.1%,20.3%,0.6%,1.9%,20.0%,0%,0.2%,0%,0%,Yes
1,2,1,6,1-0-1,64.7%,77.0%,23.0%,41.0%,31.6%,45.1%,9.3%,33.5%,20.5%,0%,2.3%,23.3%,0%,0.5%,0%,4.7%,Yes
1,2,1,6,0-1-1,61.6%,72.0%,28.0%,36.6%,36.4%,41.7%,9.9%,32.5%,20.5%,1.3%,2.6%,21.9%,0%,2.0%,0%,1.3%,Yes
1,2,1,6,1-1-1,63.8%,69.6%,30.4%,44.8%,32.7%,51.5%,4.1%,36.2%,25.0%,0%,2.6%,15.8%,0%,0.5%,0%,0.5%,Yes
1,2,1,7,0-0-0,57.7%,75.5%,24.5%,41.8%,38.5%,42.1%,6.2%,32.4%,19.4%,0.6%,2.0%,19.4%,0%,0.3%,0.2%,0%,Yes
1,2,1,7,1-0-0,61.1%,76.0%,24.0%,38.6%,34.9%,42.3%,8.3%,34.2%,20.1%,1.0%,2.3%,22.8%,0%,0.3%,0.1%,0%,Yes
1,2,1,7,0-1-0,57.5%,78.4%,21.6%,47.3%,38.7%,43.5%,6.1%,28.1%,16.8%,0.6%,1.3%,17.9%,0%,0.3%,0.3%,0%,Yes
1,2,1,7,0-0-1,66.1%,80.0%,20.0%,42.6%,32.2%,43.1%,8.6%,32.8%,16.7%,0.6%,1.7%,24.7%,0%,0%,0%,4.0%,Yes
1,2,1,7,1-1-0,58.5%,77.2%,22.8%,44.2%,37.2%,43.5%,6.6%,30.5%,18.3%,0.8%,2.8%,19.3%,0%,1.0%,0.2%,0%,Yes
1,2,1,7,1-0-1,60.6%,73.8%,26.2%,39.7%,34.6%,44.7%,7.2%,36.5%,24.0%,0%,1.0%,20.7%,0%,1.0%,0.5%,2.4%,Yes
1,2,1,7,0-1-1,67.1%,71.6%,28.4%,35.3%,31.8%,43.9%,8.1%,35.8%,22.0%,1.7%,4.0%,24.3%,0%,0.6%,1.2%,2.9%,Yes
1,2,1,7,1-1-1,57.7%,75.0%,25.0%,42.2%,38.3%,42.8%,6.3%,31.1%,19.4%,0.5%,2.7%,18.9%,0%,0.5%,0%,2.7%,Yes
1,2,1,8,0-0-0,57.3%,74.4%,25.6%,38.5%,38.5%,40.9%,6.3%,34.0%,20.1%,0.6%,1.9%,20.5%,0%,0.3%,0.3%,0%,Yes
1,2,1,8,1-0-0,57.6%,74.2%,25.8%,37.9%,37.8%,41.3%,6.6%,34.4%,20.3%,0.5%,1.7%,20.9%,0%,0.6%,0.1%,0%,Yes
1,2,1,8,0-1-0,58.9%,77.6%,22.4%,45.7%,36.8%,44.4%,6.4%,30.9%,18.6%,0%,2.3%,18.8%,0%,1.0%,0%,0%,Yes
1,2,1,8,0-0-1,54.7%,69.1%,30.9%,29.6%,41.9%,36.5%,6.1%,35.8%,21.6%,0.7%,2.7%,21.6%,0%,0.7%,0.7%,3.4%,Yes
1,2,1,8,1-1-0,63.0%,75.4%,24.6%,43.5%,32.7%,47.3%,5.8%,35.9%,21.9%,0.5%,1.5%,20.1%,0%,0.4%,0%,0%,Yes
1,2,1,8,1-0-1,64.4%,77.2%,22.8%,39.8%,28.8%,47.1%,6.8%,38.7%,23.6%,1.0%,3.1%,24.1%,0%,0%,0%,5.2%,Yes
1,2,1,8,0-1-1,56.7%,73.9%,26.1%,39.5%,40.0%,40.5%,5.7%,31.9%,19.0%,1.0%,1.9%,19.5%,0%,0.5%,0%,5.2%,Yes
1,2,1,8,1-1-1,62.7%,78.3%,21.7%,39.1%,35.5%,40.0%,6.4%,35.0%,16.8%,1.8%,3.6%,24.5%,0%,0%,0%,3.6%,Yes
1,2,1,9,0-0-0,58.1%,73.8%,26.2%,40.2%,37.6%,42.8%,5.8%,33.7%,20.4%,0.7%,1.5%,19.5%,0%,0.4%,0.4%,0%,Yes
1,2,1,9,1-0-0,60.6%,76.2%,23.8%,41.3%,35.2%,43.6%,6.7%,34.1%,20.0%,0.7%,1.7%,21.2%,0%,0.6%,0.2%,0%,Yes
1,2,1,9,0-1-0,55.9%,76.6%,23.4%,42.7%,40.5%,40.5%,6.3%,30.2%,18.2%,0.5%,2.0%,18.9%,0%,0.9%,0.5%,0%,Yes
1,2,1,9,0-0-1,69.2%,80.2%,19.8%,44.4%,29.1%,46.2%,12.0%,27.4%,17.1%,0.9%,2.6%,24.8%,0%,0%,2.6%,1.7%,Yes
1,2,1,9,1-1-0,60.8%,74.0%,26.0%,39.2%,36.0%,42.9%,6.9%,33.9%,20.6%,0.2%,2.1%,21.1%,0%,1.1%,0%,0%,Yes
1,2,1,9,1-0-1,60.9%,70.5%,29.5%,42.1%,36.5%,46.2%,5.8%,32.7%,21.2%,0.6%,1.3%,17.3%,0%,0%,0%,3.2%,Yes
1,2,1,9,0-1-1,57.7%,74.4%,25.6%,40.2%,39.4%,40.8%,7.7%,31.0%,19.0%,0%,2.1%,19.7%,0%,0.7%,0%,2.1%,Yes
1,2,1,9,1-1-1,58.8%,79.8%,20.2%,44.7%,36.2%,43.1%,8.1%,31.9%,20.0%,1.2%,3.1%,20.6%,0%,0.6%,0%,4.4%,Yes
1,2,2,1,0-0-0,54.8%,72.8%,27.2%,39.8%,41.6%,40.4%,5.1%,32.9%,20.0%,0.8%,1.6%,18.1%,0%,0.3%,0.1%,0%,Yes
1,2,2,1,1-0-0,57.0%,73.4%,26.6%,39.6%,39.8%,40.9%,6.9%,31.8%,19.4%,0.6%,1.7%,19.3%,0%,0.4%,0%,0%,Yes
1,2,2,1,0-1-0,58.3%,76.6%,23.4%,43.7%,37.7%,43.1%,7.3%,30.7%,19.0%,0.8%,2.2%,19.2%,0%,0.3%,0.1%,0%,Yes
1,2,2,1,0-0-1,55.0%,78.9%,21.1%,48.0%,39.6%,43.4%,6.0%,28.9%,17.9%,0.3%,1.3%,17.0%,0%,0%,0%,0%,Yes
1,2,2,1,1-1-0,58.2%,75.1%,24.9%,42.4%,37.5%,43.4%,6.7%,33.2%,20.8%,0.6%,2.2%,19.0%,0%,0.6%,0%,0%,Yes
1,2,2,1,1-0-1,53.7%,68.2%,31.8%,37.1%,41.9%,41.5%,7.3%,32.1%,23.2%,0.4%,3.7%,16.7%,0%,0%,0.4%,0%,Yes
1,2,2,1,0-1-1,53.1%,74.2%,25.8%,46.9%,41.5%,44.0%,5.0%,31.1%,21.6%,0.8%,2.1%,14.5%,0%,0%,0%,0%,Yes
1,2,2,1,1-1-1,56.4%,76.7%,23.3%,41.4%,39.4%,40.7%,5.1%,32.6%,17.8%,0.8%,0.8%,19.9%,0%,0%,0%,0%,Yes
1,2,2,2,0-0-0,54.6%,73.8%,26.2%,40.4%,40.8%,41.0%,5.9%,32.8%,20.6%,0.5%,1.6%,18.3%,0%,0.6%,0.2%,0%,Yes
1,2,2,2,1-0-0,58.8%,73.2%,26.8%,37.0%,37.3%,41.4%,8.3%,33.9%,21.1%,0.7%,2.3%,21.3%,0%,0.2%,0.1%,0%,Yes
1,2,2,2,0-1-0,59.9%,76.8%,23.2%,43.2%,37.3%,42.6%,6.6%,31.6%,18.1%,0.5%,1.5%,20.1%,0%,0.3%,0%,0%,Yes
1,2,2,2,0-0-1,50.0%,74.2%,25.8%,40.5%,46.6%,36.5%,6.1%,27.6%,17.2%,0.6%,1.5%,16.9%,0%,0%,0.3%,0%,Yes
1,2,2,2,1-1-0,55.9%,72.1%,27.9%,38.8%,41.0%,40.3%,5.9%,32.4%,19.8%,0.3%,1.7%,18.6%,0%,0.2%,0.2%,0%,Yes
1,2,2,2,1-0-1,58.7%,76.6%,23.4%,48.7%,38.7%,45.0%,5.9%,28.3%,18.2%,0.4%,1.1%,16.4%,0%,0%,0.4%,0%,Yes
1,2,2,2,0-1-1,55.0%,74.8%,25.2%,40.0%,43.1%,37.8%,7.2%,29.2%,17.2%,0.5%,2.9%,19.1%,0%,0%,0%,0%,Yes
1,2,2,2,1-1-1,56.3%,70.7%,29.3%,29.3%,37.9%,38.8%,6.8%,39.8%,23.3%,0.5%,1.9%,23.3%,0%,1.0%,0%,0%,Yes
1,2,2,3,0-0-0,53.5%,75.7%,24.3%,40.8%,42.5%,38.9%,6.0%,30.9%,18.4%,0.8%,1.8%,18.6%,0%,0.2%,0.2%,0%,Yes
1,2,2,3,1-0-0,58.1%,74.8%,25.2%,39.3%,38.1%,41.4%,7.3%,32.6%,19.3%,1.0%,1.9%,20.6%,0%,0.3%,0%,0%,Yes
1,2,2,3,0-1-0,56.2%,77.1%,22.9%,41.3%,40.0%,39.9%,5.8%,31.5%,17.8%,0.7%,1.7%,20.1%,0%,0.5%,0.5%,0%,Yes
1,2,2,3,0-0-1,51.0%,73.7%,26.3%,37.5%,44.6%,36.9%,5.4%,31.9%,18.8%,1.3%,2.0%,18.5%,0%,0%,0%,0%,Yes
1,2,2,3,1-1-0,59.8%,80.7%,19.3%,43.0%,36.4%,41.0%,6.4%,32.7%,16.7%,0.3%,1.9%,22.6%,0%,0.6%,0.2%,0%,Yes
1,2,2,3,1-0-1,58.6%,71.8%,28.2%,40.5%,38.1%,43.5%,6.5%,32.0%,20.5%,1.1%,2.2%,18.3%,0%,0.7%,0.4%,0%,Yes
1,2,2,3,0-1-1,58.8%,75.4%,24.6%,38.5%,39.4%,38.9%,5.4%,33.5%,17.2%,1.8%,3.2%,21.7%,0%,0%,0%,0%,Yes
1,2,2,3,1-1-1,57.8%,71.2%,28.8%,38.5%,41.7%,39.4%,6.7%,31.1%,19.4%,1.1%,2.8%,18.9%,0%,1.1%,0%,0%,Yes
1,2,2,4,0-0-0,55.8%,74.9%,25.1%,40.2%,39.8%,40.8%,5.8%,33.0%,19.6%,0.7%,1.8%,19.3%,0%,0.3%,0.2%,0%,Yes
1,2,2,4,1-0-0,57.5%,76.7%,23.3%,39.0%,38.0%,40.4%,6.4%,33.9%,18.8%,0.6%,1.8%,21.7%,0%,0.1%,0.1%,0%,Yes
1,2,2,4,0-1-0,54.8%,78.5%,21.5%,40.0%,41.9%,36.9%,6.4%,30.8%,16.3%,0.9%,1.9%,21.2%,0%,0.6%,0.3%,0%,Yes
1,2,2,4,0-0-1,56.3%,77.0%,23.0%,38.2%,37.8%,40.4%,7.4%,33.3%,19.5%,0%,0.9%,21.8%,0%,0.6%,0.6%,0%,Yes
1,2,2,4,1-1-0,55.7%,79.1%,20.9%,39.2%,40.2%,37.6%,8.6%,30.5%,17.3%,0.4%,1.4%,22.2%,0%,1.8%,0.4%,0%,Yes
1,2,2,4,1-0-1,58.9%,75.8%,24.2%,42.4%,37.9%,42.5%,5.4%,32.5%,18.2%,1.8%,3.2%,19.6%,0%,0.4%,0%,0%,Yes
1,2,2,4,0-1-1,59.2%,69.8%,30.2%,38.9%,38.0%,43.7%,6.1%,35.2%,23.5%,1.4%,2.3%,18.3%,0%,0%,0.5%,0%,Yes
1,2,2,4,1-1-1,60.8%,74.8%,25.2%,40.9%,37.0%,42.3%,7.4%,30.7%,18.0%,2.1%,3.2%,20.6%,0%,0%,0.5%,0%,Yes
1,2,2,5,0-0-0,52.8%,75.4%,24.6%,40.7%,42.7%,38.9%,5.9%,30.7%,18.5%,0.5%,2.0%,18.3%,0%,0.4%,0.2%,0%,Yes
1,2,2,5,1-0-0,56.9%,76.2%,23.8%,36.8%,39.4%,38.2%,7.5%,33.2%,18.4%,0.7%,1.9%,22.4%,0%,0.6%,0.1%,0%,Yes
1,2,2,5,0-1-0,54.1%,74.5%,25.5%,40.2%,42.5%,38.9%,5.4%,30.8%,17.9%,0.4%,1.6%,18.6%,0%,0.2%,0.4%,0%,Yes
1,2,2,5,0-0-1,56.9%,69.1%,30.9%,37.0%,37.9%,43.8%,4.5%,36.6%,22.8%,0%,1.7%,18.3%,0%,0.3%,0%,0%,Yes
1,2,2,5,1-1-0,61.8%,73.9%,26.1%,39.3%,35.7%,42.9%,5.5%,35.7%,20.1%,0.3%,1.8%,21.4%,0%,0.8%,0%,0%,Yes
1,2,2,5,1-0-1,56.4%,72.9%,27.1%,34.2%,40.7%,37.5%,7.3%,34.2%,19.6%,0.4%,2.9%,21.8%,0%,0.7%,0%,0%,Yes
1,2,2,5,0-1-1,63.6%,75.4%,24.6%,35.5%,33.6%,41.0%,9.2%,34.6%,19.4%,1.4%,2.8%,25.3%,0%,0.5%,0.9%,0%,Yes
1,2,2,5,1-1-1,56.0%,79.2%,20.8%,43.8%,40.5%,39.7%,6.0%,29.3%,16.4%,0.4%,2.2%,19.8%,0%,1.3%,0.4%,0%,Yes
1,2,2,6,0-0-0,57.6%,75.0%,25.0%,40.2%,38.6%,41.3%,6.3%,33.4%,19.7%,0.6%,2.0%,20.0%,0%,0.3%,0.1%,0%,Yes
1,2,2,6,1-0-0,55.8%,74.1%,25.9%,37.1%,39.6%,39.7%,6.6%,34.1%,20.6%,1.0%,2.2%,20.6%,0%,0.3%,0.3%,0%,Yes
1,2,2,6,0-1-0,55.4%,76.0%,24.0%,44.5%,40.1%,42.4%,5.4%,30.2%,18.6%,0.4%,1.7%,17.4%,0%,0.5%,0.4%,0%,Yes
1,2,2,6,0-0-1,58.2%,72.4%,27.6%,41.1%,39.0%,42.8%,4.7%,32.4%,19.5%,0.3%,0.9%,18.2%,0%,0%,0.6%,0%,Yes
1,2,2,6,1-1-0,57.8%,73.6%,26.4%,42.7%,38.0%,44.2%,6.4%,32.8%,21.3%,1.2%,1.7%,17.8%,0%,0.3%,0%,0%,Yes
1,2,2,6,1-0-1,55.5%,71.4%,28.6%,41.6%,41.4%,42.1%,4.8%,30.7%,19.0%,0.7%,2.1%,16.6%,0%,0%,0%,0%,Yes
1,2,2,6,0-1-1,49.2%,77.0%,23.0%,44.3%,46.8%,37.1%,6.0%,27.4%,17.7%,1.2%,1.6%,16.1%,0%,0.4%,0.4%,0%,Yes
1,2,2,6,1-1-1,60.4%,73.0%,27.0%,39.3%,35.2%,44.4%,5.6%,36.3%,21.5%,0.4%,1.5%,20.4%,0%,0.7%,0%,0%,Yes
1,2,2,7,0-0-0,56.1%,73.0%,27.0%,39.4%,39.8%,41.3%,5.6%,33.6%,20.5%,0.6%,1.7%,18.9%,0%,0.4%,0.2%,0%,Yes
1,2,2,7,1-0-0,54.2%,75.3%,24.7%,38.8%,41.3%,38.9%,6.2%,32.2%,18.8%,0.7%,1.8%,19.8%,0%,0.2%,0.2%,0%,Yes
1,2,2,7,0-1-0,53.4%,74.9%,25.1%,41.6%,42.3%,40.0%,6.4%,30.3%,19.0%,0.9%,1.9%,17.8%,0%,0.5%,0.1%,0%,Yes
1,2,2,7,0-0-1,59.1%,77.7%,22.3%,43.0%,37.6%,41.9%,6.6%,31.7%,18.2%,0.7%,1.7%,20.5%,0%,0%,0.3%,0%,Yes
1,2,2,7,1-1-0,57.4%,71.8%,28.2%,36.2%,39.2%,40.5%,6.3%,34.4%,20.8%,1.0%,1.7%,20.4%,0%,0.4%,0.3%,0%,Yes
1,2,2,7,1-0-1,58.2%,79.7%,20.3%,42.9%,37.5%,41.1%,5.6%,32.6%,16.8%,0.3%,1.0%,21.4%,0%,0%,0%,0%,Yes
